num__TotalAmount,num__AvgAmount,num__TxnCount,num__StdAmount,num__UniqueProducts,num__UniqueChannels,num__UniqueProviders,num__Recency_days,num__Lifetime_days,cat__FirstTxn_month_1,cat__FirstTxn_month_2,cat__FirstTxn_month_11,cat__FirstTxn_month_12,cat__FirstTxn_year_2018,cat__FirstTxn_year_2019,CustomerId,remainder__FirstTxn,remainder__LastTxn
-0.06689055545071151,-0.15336428770238522,-0.25345907179094945,-0.09550395236225057,-1.1539767156489633,-1.4047492209265093,-1.3827371298037798,1.93760471589899,-0.7056868051389767,0.0,0.0,1.0,0.0,1.0,0.0,CustomerId_1,2018-11-21 16:49:14+00:00,2018-11-21 16:49:14+00:00
-0.06689055545071151,-0.15336428770238522,-0.25345907179094945,-0.09550395236225057,-1.1539767156489633,-1.4047492209265093,-1.3827371298037798,1.93760471589899,-0.7056868051389767,0.0,0.0,1.0,0.0,1.0,0.0,CustomerId_10,2018-11-21 16:49:09+00:00,2018-11-21 16:49:09+00:00
-0.05584872860516775,-0.06987027274809754,-0.21218649360810643,-0.08342054593917031,-0.11495340718928564,0.45007490917476,0.3925939183093595,2.1588819340137615,-0.7056868051389767,0.0,0.0,1.0,0.0,1.0,0.0,CustomerId_1001,2018-11-16 07:53:19+00:00,2018-11-16 08:20:39+00:00
-0.06165488922144951,-0.09143504187021956,-0.15027762633384187,-0.1454140927526872,-0.11495340718928564,0.45007490917476,-0.4950716057472102,-0.2014083925438034,1.6391030689173052,0.0,0.0,1.0,0.0,1.0,0.0,CustomerId_1002,2018-11-15 18:50:09+00:00,2019-01-18 10:05:00+00:00
-0.05584872860516775,-0.07384617822211123,-0.20186834906239567,-0.08888238903340755,-0.11495340718928564,0.45007490917476,0.3925939183093595,-0.7177219014782708,-0.7056868051389767,0.0,1.0,0.0,0.0,0.0,1.0,CustomerId_1003,2019-02-01 14:58:07+00:00,2019-02-01 15:04:51+00:00
-0.062473824712494005,-0.08179798917013864,-0.25345907179094945,-0.09550395236225057,-1.1539767156489633,-1.4047492209265093,-1.3827371298037798,0.7943390889726694,-0.7056868051389767,0.0,0.0,0.0,1.0,1.0,0.0,CustomerId_1004,2018-12-22 18:14:31+00:00,2018-12-22 18:14:31+00:00
-0.045248574833445736,-0.06138834107020164,-0.1709139154252634,-0.08936602769340042,-0.11495340718928564,0.45007490917476,0.3925939183093595,0.5730618708578976,-0.7056868051389767,0.0,0.0,0.0,1.0,1.0,0.0,CustomerId_1005,2018-12-28 08:44:36+00:00,2018-12-28 13:08:44+00:00
-0.06284188560734547,-0.08776184738115919,-0.25345907179094945,-0.09550395236225057,-1.1539767156489633,-1.4047492209265093,-1.3827371298037798,1.2368935252022129,-0.7056868051389767,0.0,0.0,0.0,1.0,1.0,0.0,CustomerId_1006,2018-12-11 07:28:04+00:00,2018-12-11 07:28:04+00:00
-0.05290424144635608,0.07326232431639564,-0.25345907179094945,-0.09550395236225057,-1.1539767156489633,-1.4047492209265093,-1.3827371298037798,1.863845643194066,-0.7056868051389767,0.0,0.0,1.0,0.0,1.0,0.0,CustomerId_1007,2018-11-24 06:35:26+00:00,2018-11-24 06:35:26+00:00
-0.05584872860516775,-0.03408712348197424,-0.2431409272452387,-0.15120679514527727,-1.1539767156489633,-1.4047492209265093,-1.3827371298037798,1.2737730615546747,-0.7056868051389767,0.0,0.0,0.0,1.0,1.0,0.0,CustomerId_1008,2018-12-09 13:14:07+00:00,2018-12-09 13:15:46+00:00
