num__TotalAmount,num__AvgAmount,num__TxnCount,num__StdAmount,num__UniqueProducts,num__UniqueChannels,num__UniqueProviders,num__Recency_days,num__Lifetime_days,cat__FirstTxn_month_11,cat__FirstTxn_year_2018,CustomerId,remainder__FirstTxn,remainder__LastTxn,is_high_risk
-0.19839523018053645,-0.3529532298296379,-0.47276757919956053,-0.11365236781706173,-1.193881350171035,-1.3910469477371707,-1.338153115907933,0.6109696233787094,-0.8456961251230259,1.0,1.0,CustomerId_1,2018-11-21 16:49:14+00:00,2018-11-21 16:49:14+00:00,0
-0.19839523018053645,-0.3529532298296379,-0.47276757919956053,-0.11365236781706173,-1.193881350171035,-1.3910469477371707,-1.338153115907933,0.6109696233787094,-0.8456961251230259,1.0,1.0,CustomerId_10,2018-11-21 16:49:09+00:00,2018-11-21 16:49:09+00:00,0
-0.12260289610251332,-0.10110223422817896,-0.307430984462731,-0.0395279660913464,-0.03576710656504124,0.49107565157868427,0.6267034530327223,1.8741633327789475,-0.8456961251230259,1.0,1.0,CustomerId_1001,2018-11-16 07:53:19+00:00,2018-11-16 08:20:39+00:00,1
-0.16833093766292062,-0.16451471704926057,-0.34876513314693836,-0.16192281227514824,-0.03576710656504124,0.49107565157868427,-0.3557248314376053,0.4004373384786697,0.4982982245949745,1.0,1.0,CustomerId_1002,2018-11-15 18:50:09+00:00,2018-11-22 19:47:31+00:00,0
-0.10239160701504048,0.33064232966003626,-0.47276757919956053,-0.11365236781706173,-1.193881350171035,-1.3910469477371707,-1.338153115907933,0.18990505357863,-0.8456961251230259,1.0,1.0,CustomerId_1007,2018-11-24 06:35:26+00:00,2018-11-24 06:35:26+00:00,0
-0.09451425709319794,-0.1357401411565663,0.10591050237934291,-0.08206614116625661,-0.03576710656504124,0.49107565157868427,-0.3557248314376053,-1.0732886558216082,1.650293381496118,1.0,1.0,CustomerId_1012,2018-11-16 10:42:35+00:00,2018-11-29 14:24:50+00:00,0
0.45197878854298007,-0.14819314444724346,6.884710886589355,-0.12475282227014184,1.1223471370409523,0.49107565157868427,0.6267034530327223,-1.0732886558216082,2.034291767129832,1.0,1.0,CustomerId_1020,2018-11-15 12:27:46+00:00,2018-11-30 12:56:18+00:00,0
-0.16049906314152487,-0.08311287739950332,-0.47276757919956053,-0.11365236781706173,-1.193881350171035,-1.3910469477371707,-1.338153115907933,-0.6522240860215288,-0.8456961251230259,1.0,1.0,CustomerId_1021,2018-11-27 19:14:07+00:00,2018-11-27 19:14:07+00:00,0
-0.05060017872839134,-0.04841911780134317,-0.2247626870943162,0.024385797374286346,1.1223471370409523,0.49107565157868427,0.6267034530327223,-0.8627563709215684,1.650293381496118,1.0,1.0,CustomerId_1029,2018-11-15 09:24:03+00:00,2018-11-29 07:41:18+00:00,0
-0.11475081029203012,-0.06913514714362236,-0.34876513314693836,0.1379614489742441,1.1223471370409523,0.49107565157868427,0.6267034530327223,-0.4416918011214891,-0.26969854667245435,1.0,1.0,CustomerId_1034,2018-11-23 06:54:00+00:00,2018-11-26 16:14:22+00:00,0
-0.17325743937799212,-0.17335948415669275,-0.3900992818311458,-0.15626775790331296,-0.03576710656504124,0.49107565157868427,-0.3557248314376053,2.084695617678987,-0.8456961251230259,1.0,1.0,CustomerId_1036,2018-11-15 09:35:27+00:00,2018-11-15 09:36:09+00:00,1
-0.1352640055102471,-0.1505902053073311,-0.018091943673279265,-0.13432363197905522,1.1223471370409523,0.49107565157868427,1.6091317375030498,-1.0732886558216082,1.4582941886792606,1.0,1.0,CustomerId_1044,2018-11-17 09:47:23+00:00,2018-11-29 23:28:45+00:00,0
-0.13829696207893596,-0.13762576840662727,-0.2247626870943162,-0.13713447908635662,-0.03576710656504124,0.49107565157868427,1.6091317375030498,1.8741633327789475,-0.6536969323061688,1.0,1.0,CustomerId_1053,2018-11-15 04:31:48+00:00,2018-11-16 07:20:04+00:00,1
-0.15835161367598088,-0.152012114053331,-0.307430984462731,-0.14916410182243978,-0.03576710656504124,0.49107565157868427,0.6267034530327223,0.18990505357863,0.6902974174118317,1.0,1.0,CustomerId_1055,2018-11-15 09:45:48+00:00,2018-11-23 16:24:57+00:00,0
-0.1617521630649482,-0.13254762996470398,-0.43143343051535316,-0.09565971715819806,-0.03576710656504124,0.49107565157868427,-0.3557248314376053,2.084695617678987,-0.8456961251230259,1.0,1.0,CustomerId_1057,2018-11-15 06:08:57+00:00,2018-11-15 06:11:04+00:00,1
